Item name,Type,Wsp,Price,Initial,Stock,Status,Description,SEO,Dominance,THC,CBD,effects,relieves
THC Brownie Brother Browns,Edible,55,250,0,0,Sold out,"Indulge in the ultimate cannabis-infused treat with our Brother Browns Super Brownie Bites, each packed with 60mg of premium THC. These delicious, bite-sized THC Brownies are perfect for those who love the rich, fudgy taste of classic chocolate THC Brownies but want a little extra kick. Made with high-quality ingredients, these THC Brownies provide a potent dose of relaxation and euphoria in every bite, making them ideal for experienced cannabis consumers looking for a powerful and tasty edible. \n\n Crafted to deliver a consistent and enjoyable experience, Brother Browns are expertly baked to perfection, offering a soft, chewy texture with a deep chocolate flavor that melts in your mouth. Whether you\'re unwinding after a long day, enhancing a social gathering, or simply seeking a delicious way to elevate your mood, these THC brownie bites are the perfect choice. Enjoy them at home, share them with friends, or take them on the go – however you choose to indulge, Brother Browns promise an unforgettable edible experience. \n\n Please consume responsibly, starting with a small bite to gauge your tolerance. Each Brother Browns contains 60mg of THC, ensuring a satisfying and potent cannabis experience. Enjoy the rich, chocolaty goodness and potent effects of these brownie bites, the perfect treat for any cannabis lover.",Enjoy Brother Browns THC Brownie Bites – 60mg of premium THC in each delicious bite. Perfect for a potent and tasty edible experience. Consume responsibly.,Indica 60%,60.0,0.0,"Happy, Relaxed, Sleepy",
THC Cookie Cocos Supreme,Edible,60,250,0,0,Sold out,"Satisfy your sweet tooth and elevate your senses with our Cocos Supreme Chocolate Chip Cookie Bites, infused with 60mg of premium THC in every bite. These delightful mini THC Cookies combine the comforting taste of classic chocolate chip THC Cookies with the powerful effects of cannabis, delivering an irresistible treat that’s both delicious and potent. Each bite-sized cookie is crafted with high-quality ingredients and packed with rich chocolate chips, offering a perfect balance of sweet flavor and satisfying crunch. \n\n Ideal for experienced cannabis enthusiasts, Cocos Supreme is designed to provide a consistent and enjoyable high with every cookie. Whether you\'re relaxing at home, adding a fun twist to a social gathering, or simply treating yourself to a unique snack, these THC-infused chocolate chip THC Cookies are sure to please. With 60mg of THC per bite, they are perfect for those looking for a strong, tasty, and easy-to-dose edible option. \n\n Remember to enjoy responsibly by starting with a small bite and waiting to feel the effects before consuming more. Cocos Supreme Chocolate Chip Cookie Bites are a perfect way to indulge your taste buds while experiencing the uplifting and relaxing effects of THC. Take your cannabis enjoyment to the next level with these delicious cookie bites that deliver both flavor and potency in every bite.","Experience Cocos Supreme THC Chocolate Chip Cookie Bites – 60mg of THC per cookie. Delicious, potent, and perfect for a tasty cannabis treat. Enjoy responsibly.",Indica 60%,60.0,0.0,"Creative, Happy, Euphoric",
On Point,Strain,30,300,182,0,Sold out,"On Point is an indica-dominant (60% indica / 40% sativa) created by crossing OG Kush and Pineapple Express, offering a potent and flavorful experience. \n\n With 24% THC, this strain is perfect for those seeking a relaxing yet uplifting high. \n\n The buds are large and dense, covered in vibrant green hues and a thick layer of trichomes. The flavor profile combines sweet pineapple, zesty citrus, and earthy undertones, making it a favorite among cannabis enthusiasts. On Point delivers calming body effects with an energizing mental uplift, providing euphoria and relaxation in equal measure. Whether you're looking to unwind after a long day or enjoy a cheerful, euphoric experience, On Point offers a balanced hybrid high that can be enjoyed at any time. This premium strain is available for purchase in Bangkok, Thailand.","On Point strain: Indica-dominant with 24% THC. Pineapple, citrus, and earthy flavors. Relaxing and euphoric effects. Available in Bangkok, Thailand.",Indica 60%,24.0,0.0,"Relaxation, Euphoria, Uplifted","Anxiety, Depression, Fatigue"
Amnesia,Strain,150,300,88,0,Sold out,"Amnesia is a highly sought-after Sativa-dominant marijuana strain renowned for its potent effects. With a THC level of up to 24 percent, it offers a strong and uplifting buzz. This strain has a flowering period of 10 to 11 weeks and rewards growers with a bountiful yield. Its genetic lineage can be traced back to the legendary strains Cinderella 99, Jack Herer, and Skunk. The delightful earthy flavors and citrusy aroma, reminiscent of lemons and oranges, make Amnesia an enjoyable sensory experience. \n\n Originating from Jamaican Landrace and South Asian strains, Amnesia has gained recognition in the cannabis community. It claimed the first prize in the Cannabis Cup 2014 and the Sativa Cup 2012, solidifying its reputation. Coffee shops in Amsterdam have embraced its popularity, making it widely available. The lime and dark green buds of Amnesia possess a visually appealing appearance, adorned with abundant trichomes and fine hairs. Prepare for a powerful and rapid onset of effects, as Amnesia hits you intensely within 10 to 15 minutes of consumption. \n\n Beyond its invigorating properties, Amnesia is a versatile strain with medicinal benefits. It effectively combats lethargy, providing a boost of energy and enhancing productivity. Patients suffering from depression, anxiety, and stress find relief in its therapeutic qualities. Moreover, Amnesia is known to alleviate nausea and migraine symptoms. If you seek an exceptional strain that offers both recreational enjoyment and medicinal value, Amnesia is a remarkable choice.",Amnesia is a highly sought-after Sativa-dominant marijuana strain renowned for its potent effects.,Sativa 60%,24.0,0.0,"Giggly, Energetic, Talkative","Stress, Depression, Anxiety"
Amnesia Haze,Strain,200,600,1116,0,Sold out,"Amnesia Haze is a unique sativa-dominant hybrid born from the crossbreeding of Jamaican and Laotian sativas with Afghan Hawaiian indica. With a sativa to indica ratio of 80:20, it's an ideal strain for daytime use and clear thinking. Boasting potent THC levels of over 22%, it offers relief from anxiety, depression, fatigue, ADHD, migraines, mood swings, and physical pain. However, its lower CBD content makes it less suitable for conditions treated with CBD, such as epilepsy. \n\n Prepare for a creative and euphoric high with Amnesia Haze, accompanied by a delightful boost in mood and a tendency to induce laughter. Its taste is reminiscent of fresh, fruity hash, complemented by a sweet and earthy aroma with subtle hints of spicy pepper. The buds are light green with darker brown strands, generously coated in trichomes, providing a visually appealing appearance. \n\n While Amnesia Haze is more prevalent in parts of Europe, it can also be found in select dispensaries across the United States, including Colorado, California, Washington State, Oregon, and Michigan. It's a strain that can cause dry mouth and red eyes, and some users have reported occasional experiences of paranoia and dizziness. Embraced by cannabis enthusiasts, Amnesia Haze has also gained popularity in the beautiful region of British Columbia.","Amnesia Haze is a sativa-dominant hybrid offering a creative and euphoric high. With over 22% THC, it's perfect for daytime use and relieving anxiety, depression, and pain.",Sativa 60%,25.0,0.0,"Energetic, Talkative, Giggly","Stress, Depression, Anxiety"
Apricot Oreoz,Strain,50,350,38,0,Sold out,"Apricot Oreoz is a top-tier hybrid strain, boasting THC levels exceeding 36%. Created by crossbreeding the aromatic and powerful Apricot Jelly with the high-THC Oreoz, this feminized strain delivers an extraordinary sensory experience. The flavor profile is a delightful fusion of sweet apricots, creamy chocolate, and fresh THC Cookies, providing a unique taste that cannabis connoisseurs adore. \n\n The buds of Apricot Oreoz are large, dense, and coated with a thick layer of trichomes, giving them a frosty appearance and making them ideal for producing high-quality concentrates. With proper care, especially the use of a UVB lamp for three hours during the final weeks of flowering, cultivators can maximize resin and cannabinoid production, enhancing both the potency and the visual appeal of the strain. When grown outdoors, these plants grow vigorously, forming massive, resinous buds with a strong, fruity aroma that fills the air as harvest time approaches. \n\n The effects of Apricot Oreoz hit hard and fast, combining a surge of uplifting energy with a sense of joy and motivation. The initial cerebral high sparks creativity and enhances focus, while the body experiences a calm, soothing relaxation that lingers for hours. This potent strain offers a balanced experience but should be consumed with caution by beginners due to its strength. Ideal for experienced users seeking a blend of mental stimulation and deep physical relaxation, Apricot Oreoz is a premium-grade cannabis strain.","Apricot Oreoz hybrid strain, THC >36%, offers sweet apricot, chocolate, and cookie flavors with a potent mix of energizing and relaxing effects.",Hybrid,36.0,0.0,"Relaxing, Uplifted, Euphoric","Fatigue, Pain, Stress"
Banana Kush,Strain,50,300,0,0,Sold out,"Banana Kush, also known as Larry Bird and Banana Kush #42, is a popular hybrid cannabis strain that offers the best of both worlds with its balanced indica and sativa genetics. This strain is a result of crossing Sunset Sherbet and Thin Mint Girl Scout THC Cookies, two renowned strains that contribute to Banana Kush\'s unique characteristics. \n\n Consumers who have smoked Banana Kush report that the strain\'s effects come on quickly, inducing a euphoric high accompanied by strong feelings of relaxation. This strain\'s balanced effects make it ideal for those seeking relief from pain, fatigue, and insomnia, while still remaining mentally stimulated and productive.","Banana Kush, also known as Larry Bird and Banana Kush #42, is a popular hybrid cannabis strain that offers the best of both worlds with its balanced indica and sativa genetics.",Indica 60%,25.0,0.0,"Talkative, Sleeppy, Giggly","Depression, Fatigue, Stress"
Blood Honey,Strain,50,350,36,0,Sold out,"Blood Honey, a perfectly balanced hybrid (50% indica/50% sativa) from the tantalizing cross of Forbidden Fruit and Red Runtz, is a sensory and therapeutic masterpiece. Its name reflects its stunning appearance: fluffy, spade-shaped minty green buds with deep purple undertones, adorned with furry amber hairs and a glistening coat of chunky, golden-white trichomes that promise potency. \n\n Breaking apart these nuggets releases a vibrant aroma, blending sweet honey with spicy oranges and juicy cherries, amplified by a zesty kick that intensifies with each toke. The flavor mirrors this brilliance, bursting with vivid blood orange notes, sugary candy sweetness, and a touch of fresh honey, creating a delightful palate adventure. With a potent 19-23% THC, Blood Honey’s high starts with a sociable, euphoric lift, sparking outgoing energy and chatty vibes perfect for social settings. \n\n This mental buzz gradually gives way to a soothing body high that anchors you to the couch, easing tension without draining your spirit. A gentle, sleepy finish makes it ideal for evening use. Medical users prize Blood Honey for relieving insomnia, chronic stress, anxiety, depression, chronic pain, and headaches. Grown with care, its dense, resinous buds deliver a harmonious blend of uplift and calm, making Blood Honey a must-try for those seeking flavor, potency, and therapeutic relief in one exquisite package.","Blood Honey: Balanced hybrid (19-23% THC) with blood orange, honey flavor. Sociable, euphoric high eases stress, pain, insomnia. Stunning purple-green buds.",Hybrid,23.0,0.0,"Creative, Energetic, Talkative","Lack of appetite, Stress, Depression"
Bubble Mango,Strain,50,300,5,0,Sold out,"Bubble Mango is an exquisite hybrid strain created by crossing two renowned cannabis varieties. The first parent, Bubble Gum, is a popular indica-dominant hybrid known for its body-numbing effects and pleasant aroma. It delivers a soothing high that melts away pain while providing a mildly stimulating mental state. The second parent, Somango, is a fruity indica strain bred from the legendary Jack Herer, Super Skunk, and Big Skunk Korean. It offers an uplifting and cerebrally-focused experience, enhancing creativity and productivity. \n\n The combination of Bubble Gum and Somango genetics in Bubble Mango results in a unique blend of effects. Users can expect a body-relaxing experience that helps alleviate pain and tension, while the mind remains clear and focused. The aroma of Bubble Mango is a delightful fusion of fruity mango notes from the Somango parent and the sweet, bubblegum-like scent from Bubble Gum. This strain is a perfect choice for those seeking a balanced high that promotes both relaxation and mental clarity. \n\n Bubble Mango's genetic lineage and thoughtful breeding have created a strain that offers the best of both worlds. Its indica-dominant nature provides physical relief, while the uplifting qualities of its sativa genetics stimulate creativity and focus. Whether you're looking for relaxation, pain relief, or a boost in productivity, Bubble Mango is a versatile strain that can cater to a variety of preferences. Try it for yourself and enjoy the harmonious blend of flavors and effects it has to offer.","Bubble Mango is an exquisite hybrid strain created by crossing two renowned cannabis varieties. The first parent, Bubble Gum, is a popular indica-dominant hybrid known for its body-numbing effects and pleasant aroma.",Indica 60%,22.0,0.0,"Mediativ, Talktative, Hungry","Stress, Anxiety, Lack of appetite"
Bubble Zkittlez,Strain,100,600,53.3,0,Sold out,"Bubble Zkittlez is an exceptional hybrid strain that brings together the best of both worlds. Born from a cross of Bubble Gum and Sweet Zkittlez, this delightful blend offers a unique and captivating experience. Bubble Gum, known for its indica-dominant traits, delivers a body-numbing high that soothes pain while keeping the mind stimulated. On the other hand, Sweet Zkittlez, with its indica dominance and sweet flavor profile, provides a relaxing high that doesn't induce immediate sleepiness. \n\n The result is Bubble Zkittlez, a strain that harmoniously combines the soothing effects of Bubble Gum with the flavorful sweetness of Sweet Zkittlez. Prepare to indulge in its tantalizing taste, as Bubble Zkittlez delights the palate with a blend of fruity sweetness and hints of bubblegum. This makes it a perfect choice for those laid-back evenings with friends, where you can unwind and enjoy the company without feeling overly drowsy. \n\n Whether you're seeking relief from physical discomfort or simply want to relax without losing your focus, Bubble Zkittlez offers a balanced and enjoyable experience. Embrace its harmonious blend of flavors and effects, and let Bubble Zkittlez elevate your relaxation sessions to new heights.",Bubble Zkittlez is an exceptional hybrid strain that brings together the best of both worlds. Born from a cross of Bubble Gum and Sweet Zkittlez.,Indica 60%,25.0,0.0,"Euphoric, Uplifted, Talktative","Stress, Lack of appetite, Cramps"
Buddy Critical,Strain,200,300,30,0,Sold out,"Buddy Critical is a remarkable hybrid strain that combines the best traits of its parent strains, Critical Plus and Bubble Gum. Critical Plus, a cross between Skunk and Big Bud, is known for its fast growth and high yields. It has gained recognition in cannabis competitions, including winning the first Highlife Cup in Barcelona. Buddy Critical inherits the pungent and citrusy flavors of Critical Plus, accompanied by a subtle diesel and nutty undertone. With the addition of Bubble Gum genetics, this strain offers a relaxing and pain-relieving experience while keeping the mind pleasantly stimulated. \n\n Bred by Dinafem Seeds, Buddy Critical exemplifies the expertise and dedication of its breeders. The careful selection and combination of Critical Plus and Bubble Gum have resulted in a strain that offers a well-balanced and enjoyable experience. The body-numbing effects of Bubble Gum are complemented by the uplifting and euphoric qualities of Critical Plus. This combination makes Buddy Critical a popular choice among cannabis enthusiasts seeking relaxation and pain relief without sacrificing mental clarity. \n\n The precise genetic lineage of Bubble Gum, one of Buddy Critical's parent strains, remains somewhat mysterious. It is believed to be derived from an unknown cross of Indiana Bubble Gum. What is known, however, is the exceptional body-numbing high that Bubble Gum delivers. Users often experience a sense of pain relief and relaxation, accompanied by a gentle mental stimulation. Buddy Critical takes these desirable qualities and enhances them with the addition of Critical Plus genetics, resulting in a well-rounded and satisfying cannabis strain that appeals to a wide range of users.","Buddy Critical is a remarkable hybrid strain that combines the best traits of its parent strains, Critical Plus and Bubble Gum.",Indica 60%,20.0,0.0,"Euphoric, Relaxing, Mediativ","Stress, Pain, Lack of appetite"
C-Vibez,Strain,50,700,12.5,0,Sold out,"C-Vibez is a fast-flowering hybrid cannabis strain that's highly sought after for its dense, aromatic buds that grow quickly to maturity. With an average height of about 1.0m - 1.5m, this strain takes only about 8 weeks to finish blooming its rock-hard flowers. C-Vibez is a heavy yielder with an exceptional terpene profile, and most of these high-quality feminized seeds turn into short, green plants. About 30% show some color, ranging from purple to pink. \n\n This strain is the result of Mad Scientist genetics, accompanied by some outstanding Voodoo genetics. Voodoo is a massively potent original Dutch Passion Thai strain, responsible for the strong stone that consumers will experience while vaping or smoking the end result. Despite being an indica-dominant variety, C-Vibez offers remarkable fruity/lemony hints in the taste, especially when being burned. \n\n It's worth noting that C-Vibez has deliberately not been bred to full stability, which ensures a rich selection of seriously high-quality phenotypes with the vigor usually encountered in F2's and F3's. This makes C-Vibez a unique and exciting strain to cultivate and experience, with a potent and flavorful smoke that's sure to please even the most discerning cannabis enthusiasts.","C-Vibez is a fast-flowering hybrid cannabis strain that's highly sought after for its dense, aromatic buds that grow quickly to maturity.",Sativa 60%,25.0,0.0,"Euphoric, Energetic, Creative","Pain, Insomnia, Stress"
Cereal Milk,Strain,50,250,74.5,0,Sold out,"Cereal Milk, a standout hybrid from the renowned THC Cookies family, emerges from a masterful cross of Y Life (a blend of THC Cookies and Cherry Pie) with Snowman, a sativa-leaning THC Cookies phenotype. This strain is a sensory delight, boasting a bold, nostalgic flavor profile that evokes the creamy sweetness of milk left behind in a bowl of sugary cereal, laced with subtle notes of ripe berries and a whisper of fruity zest. \n\n Its aroma mirrors this indulgent experience, adding a faint herbal nuance that rounds out its charm. Visually, Cereal Milk dazzles with dense, resin-soaked buds—tapered, heart-shaped, and olive-green with minty hints—adorned by fiery orange hairs and a thick blanket of frosty trichomes that signal its potency. As a perfectly balanced hybrid (50% indica/50% sativa), it delivers a high that’s both uplifting and grounding. \n\n The journey begins with a euphoric rush, igniting pure joy and mental clarity, followed by a wave of creative energy and sociability that keeps you engaged yet relaxed for hours. With a THC range of 18-25%, Cereal Milk is a go-to for easing chronic stress, depression, nausea, appetite loss, fatigue, and even persistent pain. Ideal for a laid-back weekend, this strain’s long-lasting effects and delectable taste make it a rare gem for cannabis connoisseurs seeking bliss in every puff.","Cereal Milk: a balanced hybrid with sweet, creamy flavors and a euphoric, focused high. Perfect for stress, pain, and lazy days. THC 18-25%. THC Cookies family gem.",Hybrid,25.0,0.0,"Aroused, Relaxed, Giggly","Anxiety, Stress, Depression"
Chemdawg,Strain,50,300,76,0,Sold out,"Chemdawg, also known as Chemdog, is a legendary hybrid cannabis strain created and distributed by breeder Chemdog since 1991. \n\n Chemdawg has become a staple strain in the cannabis world and has been responsible for some of the most famous strains, including Sour Diesel and OG Kush. It has a diesel-like aroma that is strong and pungent, making it easily recognizable from afar. However, new users should use caution as it can be very potent. Chemdawg typically produces a cerebral experience, coupled with a strong heavy-bodied feeling. \n\n Medical marijuana patients often choose this strain to help alleviate symptoms associated with stress, anxiety, and pain. Overall, Chemdawg is a versatile strain that is a favorite among cannabis enthusiasts, with its unique history and powerful effects.","Chemdawg, also known as Chemdog, is a legendary hybrid cannabis strain created and distributed by breeder Chemdog since 1991.",Indica 60%,19.0,0.0,"Euphoric, Uplifted, Creative",undefined
Cherry Garcia,Strain,200,300,26,0,Sold out,"Cherry Garcia is a popular hybrid marijuana strain that is known for its calming effects. This strain is a cross between Animal THC Cookies and 3x Crazy, and its potency is known to vary. With continued use, Cherry Garcia's effects become more calming than energizing, leading to a balanced high that leaves you feeling happy, relaxed, and euphoric. Consumers of Cherry Garcia often report that it makes them feel giggly and enhances their mood. \n\n One of the most notable features of Cherry Garcia is its unique flavor profile. The strain has a sweet taste, with hints of berry and cherry that shine through. Many users appreciate the smooth and enjoyable smoking experience that Cherry Garcia provides. Medical marijuana patients often choose Cherry Garcia to alleviate symptoms related to stress, pain, and depression. \n\n Cherry Garcia was initially bred by Natural State Cultivation and has gained popularity due to its balanced effects and unique flavor profile. Whether you're looking to unwind after a long day or want to enhance your mood, Cherry Garcia may be the perfect strain for you. With its calming and uplifting effects, it's no surprise that this strain has become a favorite among many cannabis enthusiasts.",Cherry Garcia is a popular hybrid marijuana strain that is known for its calming effects.,Hybrid,22.0,0.0,"Happy, Giggly, Talkative","Depression, Stress, Anxiety"
Critical Kush,Strain,200,400,20.26,0,Sold out,"Critical Kush is an Indica-dominant marijuana strain that is known for its potent effects. Bred by Barney's Farm, it is a cross between Critical Mass and OG Kush, two of the most beloved strains in the cannabis world. Critical Kush has a pungent earthy aroma with a hint of spice, which can induce a calming effect on the mind and body. Its high THC content combined with a moderate amount of CBD makes it an ideal nighttime medication for those seeking relief from pain, stress, insomnia, and muscle spasms. \n\n This popular strain is highly valued by both medical and recreational users. Medical marijuana patients use Critical Kush to alleviate symptoms related to chronic pain, anxiety, depression, and insomnia. Recreational users appreciate its relaxing, sedative-like effects, which make it an excellent choice for unwinding after a long day. Critical Kush is also a favorite among growers, as it is easy to cultivate and produces high yields. \n\n Indoor growers can expect Critical Kush to flower in about 50-60 days. This strain is known for its resilience and adaptability, making it suitable for both novice and experienced cultivators. With its potent effects and delightful aroma, Critical Kush is a must-try for any cannabis connoisseur looking for a high-quality Indica strain.",Critical Kush is an Indica-dominant marijuana strain that is known for its potent effects.,Indica 60%,18.0,0.0,"Sleepy, Relaxed, Hungry","Stress, Pain, Anxiety"
Dosidos,Strain,50,300,0,0,Sold out,"Dosidos, an indica-dominant hybrid strain, goes by various names like Dosi Doe, Do-Si-Dos, and Dosi. This remarkable strain shares similarities with its parent, OGKB, a phenotype of the popular Girl Scout THC Cookies strain. Dosidos stands out with its vibrant lime green and lavender leaves, adorned with glistening trichomes and bright pistils. Its aroma is a delightful blend of pungent sweetness, earthiness, and a hint of floral funkiness. With the inclusion of Face Off OG genetics, Dosidos delivers a potent, sedative-leaning body effect, complementing its classic OG scent. \n\n Prepare to be captivated by Dosidos, an indica-dominant hybrid that boasts eye-catching features. Its lime green and lavender leaves, adorned with shimmering trichomes and vibrant pistils, create a visually stunning display. The aroma of Dosidos is a harmonious fusion of pungent sweetness, earthy tones, and a subtle floral undertone. This strain's genetics, including the renowned Face Off OG, contribute to its impressive medical-grade body effects. From the initial toke, Dosidos delivers a powerful and euphoric buzz that gradually eases into a soothing, full-body relaxation. Indulge in Dosidos and experience its tranquilizing effects that radiate throughout. \n\n Let Dosidos take you on a sensory journey with its striking appearance and captivating aroma. This indica-dominant hybrid, also known as Dosi Doe, Do-Si-Dos, or simply Dosi, inherits its qualities from OGKB, a distinguished phenotype of the beloved Girl Scout THC Cookies strain. Feast your eyes on Dosidos' lime green and lavender leaves, adorned with a dazzling display of trichomes and vibrant pistils. Its aroma is a delightful blend of pungent sweetness, earthiness, and a touch of floral funk. With the added genetics of Face Off OG, Dosidos offers a remarkable body effect that leans toward the sedative side. Embrace the stoney, in-your-face buzz that gradually melts into a profound state of relaxation, leaving you beautifully at ease. Limonene takes the lead as the dominant terpene in Dosidos, enhancing its aromatic and therapeutic profile.","Dosidos, an indica-dominant hybrid strain, goes by various names like Dosi Doe, Do-Si-Dos, and Dosi.",Indica 60%,30.0,0.0,"Sleepy, Relaxed, Hungry","Anxiety, Stress, Pain"
Drippin’ Aint Eazy,Strain,50,400,123,0,Sold out,"Dive into the unique world of Drippin’ Aint Eazy, a 70% Indica hybrid strain with a powerful 27% THC content, crafted by the renowned breeders at Exotic Genetix. Born from the remarkable cross of Drip Station and Gary Poppins, this strain stands out for its distinct and vivid appearance. The buds of Drippin’ Aint Eazy feature a deep purple hue interlaced with pale green accents and coated with dense, opaque trichomes, making it a visual delight for cannabis enthusiasts. \n\n The aromatic profile of this strain is as complex as its genetics. Drippin’ Aint Eazy entices the senses with a musky, creamy flavor, enriched with floral undertones, hints of diesel, and a subtle sweetness that lingers on the palate. This combination results in a rich and memorable taste experience that is both bold and nuanced, making it an ideal choice for those who appreciate layered flavors in their cannabis. \n\n Perfect for seasoned users, Drippin’ Aint Eazy offers more than just a potent high—it provides a unique experience marked by intense body-tingling sensations coupled with uplifting, giggly euphoria. Whether you\'re winding down after a long day or seeking an extra dose of creativity and fun, this strain promises a potent, long-lasting effect that will keep you coming back for more. Embrace the luxury of Drippin’ Aint Eazy and let it elevate your cannabis journey to new, unforgettable heights.","Experience the rich, potent effects of Drippin’ Aint Eazy—a 70% Indica strain with 27% THC. Deep purple buds, floral, creamy flavors, and intense body effects await.",Indica 60%,27.0,0.0,"Relaxed, Giggly, Aroused","Anxiety, Depression, Stress"
El Chapo OG,Strain,50,300,77,0,Sold out,"El Chapo OG, a three-way indica-dominant hybrid (Face Off OG x SFV OG x OG Kush), packs a powerful punch. Its THC content ranges from 19% to 23%, delivering a fast-acting sedative high that's perfect for winding down at night. \n\n The effects begin with a cerebral lift, boosting mood and leaving you feeling optimistic. This euphoria quickly transitions into deep relaxation, melting away tension and easing your body into a state of couch-lock.  El Chapo OG is a great choice for relieving symptoms like chronic stress, inflammation, depression, chronic pain, and insomnia. \n\n Sweet Citrus and Floral Delight. El Chapo OG offers more than just potent effects. Its flavor profile is a delightful combination of sweet lemon and fresh floral citrus, accented by earthy kush notes. The aroma is equally inviting, with a mix of sweet lemon and pine, topped with a fragrant floral overtone that's almost candy-like. The tight, round forest green nugs with long orange hairs and a coating of amber trichomes further enhance the overall experience.","El Chapo OG is an indica-dominant hybrid with 19-23% THC, offering a sedative high perfect for nighttime. Enjoy its sweet citrus and floral flavor, ideal for stress and pain relief.",Indica 60%,23.0,0.0,"Sleepy, Relaxed, Happy","Anxiety, Pain, Stress"
Eleven Roses,Strain,50,300,7.49,0,Sold out,"Eleven Roses is an indica-dominant hybrid marijuana strain with an unknown genetic lineage. The dense and resinous buds of Eleven Roses have a pungent aroma with hints of pine, earth, and fuel. Though there is limited information available about this strain, its effects are said to be deeply relaxing and may be useful for treating insomnia, pain, and stress. \n\n Eleven Roses is also known for its sedative properties, making it a good choice for nighttime use or for those seeking relief from anxiety or tension. The exact THC and CBD levels of Eleven Roses are not known, but it is believed to have a moderately high THC content, potentially reaching up to 20%. \n\n The name Eleven Roses is thought to reference the potent and aromatic nature of this strain, with the eleven representing the abundance of its positive attributes. While there is still much to be learned about Eleven Roses, it is clear that this strain has the potential to provide relief for a range of medical conditions while also delivering a deep sense of relaxation and tranquility.",Eleven Roses is an indica-dominant hybrid marijuana strain with an unknown genetic lineage.,Indica 60%,24.0,0.0,"Sleepy, Relaxed, Hungry","Stress, Anxiety, Insomnia"
End Game,Strain,50,300,35,0,Sold out,"End Game is a meticulously crafted hybrid cannabis strain, boasting an equal blend of 50% sativa and 50% indica genetics. Born from the union of Ethos THC Cookies #4 and Purple Sunset, this strain is renowned for its large, dense buds and intricate terpene profile. The aroma of End Game is a tantalizing mix of sweet and sour notes, with subtle hints of grape and fuel, making it a sensory delight for cannabis enthusiasts. With a THC content of 25% and CBD levels ranging from 1-3%, End Game is tailored for experienced consumers seeking a potent and well-rounded experience. \n\n The effects of End Game are celebrated for their ability to induce a state of deep relaxation, coupled with feelings of happiness and an enhanced appetite. Medical marijuana patients often turn to this strain to alleviate symptoms of pain, stress, and insomnia, thanks to its dominant terpene, caryophyllene, which is known for its anti-inflammatory and analgesic properties. The strain's balanced high offers a unique combination of mental stimulation and physical calm, making it a versatile choice for both recreational and medicinal use. \n\n Best suited for afternoon or evening consumption, End Game is a strain that enhances mood while gently soothing the body. Its flavor profile, rich with notes of grape, fuel, and pepper, provides a memorable experience for the palate. End Game delivers exceptional value for those seeking a potent and flavorful strain that can elevate both mind and body, making it a must-try for cannabis connoisseurs.","End Game is a balanced hybrid strain with sweet grape and fuel notes, offering relaxing effects. Ideal for pain, stress, and insomnia relief. 25% THC, 1-3% CBD.",Hybrid,25.0,0.0,"Uplifted, Euphoric, Energetic","Anxiety, Depression, Insomnia"
Fat Banana,Strain,50,300,379.4,0,Sold out,"Indulge in the delightful experience of Fat Banana, a hybrid cannabis strain crafted by blending the legendary OG Kush with the aromatic Chiquita Banana. Unveiling a palate of sweetness with citrus undertones, its aroma transports you to a tropical banana haven. The journey with Fat Banana begins with a gentle euphoria, gradually evolving into a profound physical relaxation. Renowned for inducing the munchies, this strain offers a flavorful and multi-layered encounter, making it a favorite among those seeking a blissful and appetite-stimulating cannabis experience.","Indulge in the delightful experience of Fat Banana, a hybrid cannabis strain crafted by blending the legendary OG Kush with the aromatic Chiquita Banana.",Hybrid,28.0,0.0,"Talkative, Giggly, Happy","Lack of appetite, Stress, Anxiety"
Forbidden Fruit,Strain,150,700,138,0,Sold out,"Forbidden Fruit, a tantalizing cannabis strain, emerges from the enchanting genetic blend of Cherry Pie and Tangie. Its visual allure is evident in its dense, purple-tinged buds, complemented by dark green leaves and vibrant orange hairs. The bouquet of aromas is a harmonious fusion of Cherry Pie's sweet, musky cherry notes entwined with Tangie's bold, tropical flavors. Hints of pine, mango, and passionfruit candy add further layers to this aromatic masterpiece. \n\n Upon consumption, Forbidden Fruit unveils its potent indica characteristics that hit with precision, starting with a cerebral euphoria that settles gently into the body. This strain's deep physical relaxation and mental tranquility make it an ideal choice for alleviating minor physical discomfort and shedding the burdens of stress. Whether you seek solace after a long day or a respite from life's demands, Forbidden Fruit offers a serene escape. \n\n Forbidden Fruit is a testament to the artistry of cannabis breeding, delivering a delightful blend of flavors and effects. Its ability to soothe both body and mind makes it a cherished choice among cannabis connoisseurs seeking a moment of tranquility and relief. With its remarkable terpene profile and seductive appearance, Forbidden Fruit stands as a captivating option for those in pursuit of relaxation and respite in the world of cannabis.","Forbidden Fruit, a Cherry Pie and Tangie cross, offers dense, purple buds with sweet cherry and tropical aromas. It delivers euphoria, relaxation, and stress relief.",Indica 60%,23.0,0.0,"Sleepy, Relaxed, Hungry","Stress, Anxiety, Pain"
